Recipe Name;Review Count;Recipe Photo;Author;Prepare Time;Cook Time;Total Time;Ingredients;Directions;RecipeID
Quick Black Forest Cake Recipe ;250;https://images.media-allrecipes.com/userphotos/560x315/1133841.jpg;Donna;X;X;X;cake,egg,almond,cherry,chocolate,butter,milk,sugar;'Preheat oven to 350 degrees F (175 degrees C).**Mix together: cake mix, beaten eggs, almond extract, cherry pie filling and 1 cup semisweet chocolate chips. Stir until just combined.  Pour batter into a greased 9x13 inch pan.**Bake in a 350 degree F (175 degree C) oven for 45 to 50 minutes or until a toothpick inserted in the center comes out clean.  Remove cake from oven and let cool.**To Make Glaze: Heat 1/2 cup semisweet chocolate chips, butter or margarine, and milk in a saucepan over medium high heat.  Once  semisweet chocolate chips are melted and mixture is combined stir in confectioners'' sugar.**Spread glaze over cooled cake. Serve cake as is or with whipped cream and a cherry.**';7296
Eclair Cake Recipe ;864;https://images.media-allrecipes.com/userphotos/560x315/794467.jpg;Cathy Gordon;25 m;X;4 h 25 m;vanilla,topping thawed,milk,ham,chocolate;In a medium bowl, thoroughly blend the pudding mix, whipped topping, and milk.**Arrange a single layer of graham cracker squares in the bottom of a 13x9 inch baking pan. Evenly spread half of the pudding mixture over the crackers. Top with another layer of crackers and the remaining pudding mixture. Top with a final layer of graham crackers.**Spread the frosting over the whole cake up to the edges of the pan. Cover, and chill at least 4 hours before serving.**;7304
Surprise Banana Cake Recipe ;303;https://images.media-allrecipes.com/userphotos/560x315/33577.jpg;tomg;30 m;30 m;1 h;white sugar,butter,egg,banana,flour,baking soda,salt,walnut,vanilla;Preheat oven to 375 degrees F (190 degrees C).  Grease and flour one 9 x 13 inch cake pan.**Cream together the butter or margarine and the sugar.**Add eggs, bananas, flour, soda, salt, nuts, and vanilla.  Mix thoroughly and pour batter into the  prepared pan.**Bake at 375 degrees F (190 degrees C) for 30 minutes.  Cool and frost cake.**;7306
Mini Cheesecakes I Recipe ;873;https://images.media-allrecipes.com/userphotos/560x315/4560235.jpg;Janice;30 m;15 m;45 m;vanilla,cream cheese,white sugar,egg,vanilla,cherry;Preheat oven to 350 degrees F (175 degrees C).  Line miniature muffin tins (tassie pans) with miniature paper liners.**Crush the vanilla wafers, and place 1/2 teaspoon of the crushed vanilla wafers into each paper cup.**In a mixing bowl, beat cream cheese, sugar, eggs and vanilla until light and fluffy.  Fill each miniature muffin liner with this mixture, almost to the top.**Bake for 15 minutes.  Cool.  Top with a teaspoonful of cherry pie filling.**;7307
Favorite Old Fashioned Gingerbread Recipe ;1k;https://images.media-allrecipes.com/userphotos/560x315/4558051.jpg;Charles;25 m;1 h;1 h 45 m;white sugar,butter,egg,molasses,flour,baking soda,cinnamon,ginger,clove,salt,water;Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9-inch square pan.**In a large bowl, cream together the sugar and butter. Beat in the egg, and mix in the molasses.**In a bowl, sift together the flour, baking soda, salt, cinnamon, ginger, and cloves. Blend into the creamed mixture. Stir in the hot water. Pour into the prepared pan.**Bake 1 hour in the preheated oven, until a knife inserted in the center comes out clean. Allow to cool in pan before serving.**;7322
Cream Cheese Pound Cake I Recipe ;540;https://images.media-allrecipes.com/userphotos/560x315/1449318.jpg;PSTEWART;X;X;X;butter,cream cheese,white sugar,vanilla,almond,egg,flour;Preheat oven to 325 degrees F (165 degrees C). Grease one 10 inch tube pan.**Cream together the butter, cream cheese, and sugar until light. Stir in the vanilla and the almond extracts.  Add the flour and the eggs alternately, beginning and ending with the flour. Pour batter into the prepared pan.**Bake at 325 degrees F (165 degrees C) for 1 hour and 15 minutes or until a toothpick inserted in the center comes out clean.**;7326
Fresh Pineapple Upside Down Cake Recipe ;282;https://images.media-allrecipes.com/userphotos/560x315/3870900.jpg;Veruschka;30 m;30 m;1 h 10 m;butter,brown sugar,apple juice,flour,baking powder,salt,white sugar,egg,vanilla,pineapple;Preheat oven to 400 degrees F (205 degrees C).**Melt the butter. Brush a little bit of the butter on the inside of a 9-inch cake pan.**Mix 5 tablespoons of the butter with the dark brown sugar and 1/4 cup of the pineapple juice. Place this mixture in the bottom of the cake pan. Arrange the pineapple rings on the brown sugar mixture in a decorative pattern (be creative). Set pan aside.**Stir together the flour, salt, white sugar, and baking powder.**Separate the eggs. Beat the whites until stiff but not dry.**Beat two of the egg yolks until lemony yellow. Stir in the remaining 1/2 cup pineapple juice, vanilla, and remaining melted butter. Add this mixture to the flour mixture. Gently fold in the egg whites. Pour batter over the top of the brown sugar and pineapple rings.**Bake in the preheated oven until cake springs back when lightly touched with a finger, about 30 minutes. Let cake cool in pan for 10 minutes then cover pan tightly with a serving dish and invert so that the pineapple side is up.**;7347
Chocolate Fudge Buttercream Frosting Recipe ;488;https://images.media-allrecipes.com/userphotos/560x315/5042000.jpg;Debra Steward;X;X;X;butter,shortening,cocoa powder,sugar,milk,1 cup hot fudge topping,vanilla;'Cream together the butter or margarine with the shortening.**Sift the cocoa with the confectioners'' sugar and add to the creamed mixture.  Mix together adding 1 tablespoon at a time of milk to keep mixture smooth.  Don''t add more than 1/4 cup of milk.**Add the hot fudge topping and the vanilla extract. Blend until smooth and creamy.**';7350
Easy Rum Cake Recipe ;211;https://images.media-allrecipes.com/userphotos/250x250/101875.jpg;Mariann;X;X;X;walnut,cake,rum,egg,water,vegetable oil,vanilla,Glaze,butter,water,white sugar,rum;Preheat oven to 325 degrees F (165 degrees C).  Grease and  flour a 10 inch tube or Bundt pan.  Sprinkle nuts over  the bottom of the pan.**Mix together the cake mix, 1/2 cup dark rum, eggs, 1/2 cup water, oil, and vanilla pudding mix.  Pour batter over the nuts in the pan.**Bake for 1 hour.  Cool, and invert cake on a serving plate.  Prick the top of the cake.**To Make The Glaze:  Melt the butter in a saucepan.  Stir in 1/8 cup water and the 1/2 cup sugar.  Boil for 5 minutes, stirring constantly.  Remove glaze from heat, and stir in 1/4 cup rum.  Drizzle and smooth evenly over the top and sides.**;7364
Black Russian Cake I Recipe ;126;https://images.media-allrecipes.com/userphotos/250x250/2618.jpg;Rory Kate;20 m;40 m;1 h;cake,chocolate,egg,white sugar,vegetable oil,vodka,liqueur,water,liqueur,sugar;'Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 10 inch Bundt pan.**In a large bowl, combine the cake mix, pudding mix, eggs, white sugar, oil, vodka, 1/4 cup liqueur, and water.  Beat for four minutes.  Pour batter into prepared Bundt pan.**Bake at 350 degrees F (175 degrees C) for 40 minutes, or until toothpick inserted in center of cake comes out clean.  Cool on a rack.**Make a glaze by combining 1/4 cup coffee liqueur and 1/2 cup confectioners'' sugar. Turn cake over on a cake plate.  Poke cake several times with a fork.  Cover with glaze, and dust with remaining 1/2 cup confectioners'' sugar.**';7375
Chocolate Cappuccino Cheesecake Recipe ;350;https://images.media-allrecipes.com/userphotos/560x315/1955460.jpg;Cigdem Buke Ugur;30 m;1 h;4 h;chocolate,butter,white sugar,cinnamon,cream cheese,white sugar,egg,chocolate,whipping cream,sour cream,salt,coffee,liqueur,vanilla,whipping cream,sugar,liqueur,chocolate;'Preheat oven to 350 degrees F (175 degrees C). Butter one 9 or 10 inch springform pan.;7384
Carrot Cake III Recipe ;5k;https://images.media-allrecipes.com/userphotos/560x315/1053595.jpg;Tammy Elliott;30 m;1 h;2 h;egg,vegetable oil,white sugar,vanilla,flour,baking soda,baking powder,salt,cinnamon,carrot,pecan,butter,cream cheese,sugar,vanilla,pecan;'Preheat oven to 350 degrees F (175 degrees C).  Grease and flour a 9x13 inch pan.**In a large bowl, beat together eggs, oil, white sugar and 2 teaspoons vanilla. Mix in flour, baking soda, baking powder, salt and cinnamon. Stir in carrots. Fold in pecans.  Pour into prepared pan.**Bake in the preheated oven for 40 to 50 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely.**To Make Frosting:  In a medium bowl, combine butter, cream cheese, confectioners'' sugar and 1 teaspoon vanilla. Beat until the mixture is smooth and creamy. Stir in chopped pecans. Frost the cooled cake.**';7402
Strawberry Torte Recipe ;205;https://images.media-allrecipes.com/userphotos/560x315/640860.jpg;Star Pooley;X;X;X;cream cheese,white sugar,vanilla,whipping cream,cookies,strawberry,cornstarch;Strain strawberries and set aside, reserving juices. In a saucepan bring cornstarch and strawberry juice to a gentle boil. Remove from heat and let cool.**Whip cream cheese, sugar, and vanilla together.**In a separate bowl beat whipping cream until stiff peaks form. Fold whipped cream into cream cheese mixture.**Arrange ladyfingers around sides and bottom of the 8 or 9 inch springform pan, standing ladyfingers lengthwise around sides of pan. Pour 1/2  of the filling into the pan, then place a layer of ladyfingers on top of filling. Pour remaining filling over ladyfingers.**Spread strawberry sauce over top of cake and place the whole strawberries on top. Refrigerate and remove from pan once thoroughly chilled.**;7409
Wedding Cake Frosting Recipe ;163;https://images.media-allrecipes.com/userphotos/250x250/185860.jpg;Jeannine;X;X;X;butter,shortening,milk,vanilla,sugar;Cream the butter and shortening together until smooth. Gradually add the sugar, milk, and vanilla extract.  Mix until smooth.**;7410
Kitty Litter Cake Recipe ;405;https://images.media-allrecipes.com/userphotos/250x250/197010.jpg;Dee;X;X;X;chocolate,cake,vanilla,sandwich,food coloring,1 (12 ounce) package tootsie rolls;'Prepare cake mixes and bake according to package directions (any size pan).**Prepare pudding according to package directions and chill until ready to assemble.**Crumble sandwich cookies in small batches in a food processor, scraping often. Set aside all but 1/4 cup. To the 1/4 cup add a few drops of green food coloring and mix.**When cakes are cooled to room temperature, crumble them into a large bowl. Toss with 1/2 of the remaining cookie crumbs, and the chilled pudding. You probably won''t need all of the pudding, you want the cake to be just moist, not soggy.**Line kitty litter box with the kitty litter liner. Put cake mixture into box.**Put half of the unwrapped tootsie rolls in a microwave safe dish and heat until softened. Shape the ends so that they are no longer blunt, and curve the tootsie rolls slightly. Bury tootsie rolls randomly in the cake and sprinkle with half of the remaining cookie crumbs. Sprinkle a small amount of the green colored cookie crumbs lightly over the top.**Heat 3 or 4 of the tootsie rolls in the microwave until almost melted. Scrape them on top of the cake and sprinkle lightly with some of the green cookie crumbs.  Heat the remaining tootsie rolls until pliable and shape as before. Spread all but one randomly over top of cake mixture.  Sprinkle with any remaining cookie crumbs. Hang the remaining tootsie roll over side of litter box and sprinkle with a few green cookie crumbs. Serve with the pooper scooper for a gross Halloween dessert.**';7415
Dump Cake II Recipe ;120;https://images.media-allrecipes.com/userphotos/250x250/133605.jpg;Andrea;X;X;X;cake,pineapple,cherry,butter;Preheat oven to 350 degrees F (175 degrees C).**Dump pineapple and cherries into one 9x13 inch pan and mix together. Top with cake mix and slice butter or margarine over mix.**Bake at 350 degrees F (175 degrees C) for 45 minutes or until brown and bubbling. Remove and serve warm or cold.**;7417
Better Than Sex Cake I Recipe ;183;https://images.media-allrecipes.com/userphotos/560x315/42898.jpg;Teri;X;X;X;chocolate,milk,2 cups hot fudge topping,topping thawed,chocolate;Bake German chocolate cake mix according to package directions.**While cake is still very warm poke holes in top of cake with the end of a wooden spoon, poor sweetened condensed milk over top. Let cake cool. Pour hot fudge topping over top of cake and let set. Spread on whipped topping and garnish with crushed Heath (TM)  Bars (toffee crumbles).**;7421
Red Velvet Cake I Recipe ;509;https://images.media-allrecipes.com/userphotos/560x315/821124.jpg;JJOHN32;15 m;35 m;55 m;cocoa powder,food coloring,buttermilk,salt,vanilla,shortening,white sugar,egg,flour,baking soda,vinegar,milk,flour,white sugar,butter,vanilla;Grease two 9 inch round pans. Preheat oven to 350 degrees F (175 degrees C). Make a paste of cocoa and food coloring.  Set aside.**Combine the buttermilk, salt and 1 teaspoon vanilla.  Set aside.  In a large bowl, cream together the shortening and 1 1/2 cups sugar until light and fluffy. Beat in the eggs one at a time, then stir in the cocoa mixture.  Beat in the buttermilk mixture alternately with the flour, mixing just until incorporated.  Stir together baking soda and vinegar, then gently fold into the cake batter.**Pour batter into prepared pans. Bake in the preheated oven for 30 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool completely before frosting.  Refrigerate until ready to serve.**To Make Icing:   In a saucepan, combine the milk and 5 tablespoons flour.  Cook over low heat, stirring constantly, until mixture thickens.  Set aside to cool completely.  Cream together butter, 1 cup sugar and 1 teaspoon vanilla until light and fluffy, then stir in the cooled milk and flour mixture, beating until icing reaches spreading consistency.**;7425
Key Lime Cheesecake I Recipe ;309;https://images.media-allrecipes.com/userphotos/560x315/2115555.jpg;BLUEKAT76;X;X;X;ham,butter,cream cheese,white sugar,cornstarch,egg,lime,lime juice;Combine cookie or graham cracker crumbs with butter or margarine.  Press into bottom and partially up sides of 9 inch springform pan.  Refrigerate.**In a large bowl, beat with an electric mixer the cream cheese, sugar, lime peel, and cornstarch until smooth and fluffy.  Beat in eggs one at a time, blending just until smooth.  Add key lime juice with mixer on low.  Finish mixing by hand.  Do not over beat, or cake will crack during baking.  Pour batter into prepared crust.**Bake at 300 degrees F (150 degrees C) for 55 to 65 minutes, or until set.  To minimize cracking, place a shallow pan half full of hot water on lower rack during baking.**Turn oven off, and let cheesecake stand in oven 30 minutes with the door open at least 4 inches. Remove from oven.  Refrigerate cake overnight, and up to three days.**;7441
'Rick''s Special Buttercream Frosting Recipe ';590;https://images.media-allrecipes.com/userphotos/560x315/701754.jpg;Rick Mazzuca;30 m;X;30 m;shortening,sugar,salt,vanilla,whipping cream;In a mixing bowl, cream shortening until fluffy.  Add sugar, and continue creaming until well blended.**Add salt, vanilla, and 6 ounces whipping cream. Blend on low speed until moistened. Add additional 2 ounces whipping cream if necessary. Beat at high speed until frosting is fluffy.**;7443
Crazy Cake Recipe ;746;https://images.media-allrecipes.com/userphotos/250x250/69978.jpg;Amy Parsons;X;X;X;flour,white sugar,salt,baking soda,cocoa powder,vegetable oil,vinegar,vanilla,water;Sift flour, sugar, salt, soda, and cocoa together into a 9 x 13 inch ungreased cake pan.  Make three wells.  Pour oil into one well, vinegar into second, and vanilla into third well.  Pour cold water over all, and stir well with fork.**Bake at 350 degrees F (175 degrees C) for 30 to 40 minutes, or until tooth pick inserted comes out clean. Frost with your favorite icing.**;7475
Cinnamon Swirl Bundt Coffee Cake Recipe ;408;https://images.media-allrecipes.com/userphotos/560x315/638481.jpg;Ruth;30 m;50 m;1 h 20 m;coffee,butter,white sugar,egg,vanilla,sour cream,flour,baking soda,baking powder,walnut,cinnamon,white sugar;Preheat oven to 400 degrees F (205 degrees C). Grease a 10-inch bundt pan.**Beat butter and sugar with an electric mixer in a large bowl until light and fluffy. The mixture should be noticeably lighter in color. Add eggs one at a time, allowing each egg to blend into the butter mixture before adding the next. Mix in vanilla.**Combine flour, baking soda, and baking powder. Pour flour mixture into batter alternately with the sour cream, mixing until just incorporated. Fold in walnuts, mixing just enough to evenly combine. Pour half the batter into the prepared pan.**Mix the remaining 1/4 cup of white sugar with the cinnamon.**Sprinkle cinnamon sugar over the batter in the pan. Drop remaining cake batter in heaping spoonfuls over filling, covering it as best you can.**Bake in preheated oven for 8 minutes. Lower heat to 350 degrees F (175 degrees C) and bake for an additional 40 minutes, or until a tester comes out clean.**;7478
Kentucky Butter Cake Recipe ;975;https://images.media-allrecipes.com/userphotos/560x315/5833612.jpg;Suzanne Stull;30 m;1 h;2 h;flour,white sugar,salt,baking powder,baking soda,buttermilk,butter,vanilla,egg,white sugar,butter,water,vanilla;Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 10 inch Bundt pan.**In a large bowl, mix the flour, 2 cups sugar, salt, baking powder and baking soda. Blend in buttermilk, 1 cup of butter, 2 teaspoons of vanilla and 4 eggs. Beat for 3 minutes at medium speed. Pour batter into prepared pan.**Bake in preheated oven for 60 minutes, or until a wooden toothpick inserted into center of cake comes out clean. Prick holes in the still warm cake. Slowly pour sauce over cake. Let cake cool before removing from pan.**To Make Butter Sauce: In a saucepan combine the remaining 3/4 cups sugar, 1/3 cup butter, 2 teaspoons vanilla, and the water. Cook over medium heat, until fully melted and combined, but do not boil.**;7479
White Cake Frosting I Recipe ;172;https://images.media-allrecipes.com/userphotos/560x315/3781158.jpg;APARSONS;X;X;X;shortening,water,salt,vanilla,butter,sugar;With an electric mixer blend all ingredients until mixed.**;7488
Gooey Butter Cake II Recipe ;156;https://images.media-allrecipes.com/userphotos/250x250/153054.jpg;V. Monte;X;X;X;butter,cake,egg,cream cheese,almond,sugar;'Preheat oven to 350 degrees F (175 degrees C). Lightly grease one 9x13 inch cake pan.**Melt the butter or margarine. Stir melted butter or margarine along with 1 egg into the cake mix. Press into prepared pan.**In a large bowl mix cream cheese, almond extract, confectioner''s sugar, and the remaining 2 eggs beat for 3 minutes with an electric mixer set on medium high speed. Spread over top of cake mixture.**Bake at 350 degrees F (175 degrees C) for 45 to 50 minutes and until browned on top. Allow cake to cool before cutting.**';7492
Peanut Butter Cake II Recipe ;287;https://images.media-allrecipes.com/userphotos/560x315/1058081.jpg;Suzanne Stull;30 m;30 m;1 h;peanut butter,butter,egg,butter,water,peanut butter,butter,sugar,cream;'Preheat oven to 325 degrees F (165 degrees C). Grease and flour two 9 inch round cake pans.**Combine 1/2 cup peanut butter and 1/2 cup butter or margarine. Cream until light and fluffy. Add eggs one at time, mixing well after each one. Add cake mix alternately with the water. Stir until just combined. Pour batter into prepared pans.**Bake at 325 degrees F (165 degrees C) for 25 minutes or until cake tests done. Allow cakes to cool in pan for 10 minutes and then turn out onto a cooling rack to cool completely. Assemble and frost with Peanut Butter Frosting once cool.**To Make Peanut Butter Frosting: Combine 1 cup peanut butter, and 1/2 cup butter or margarine cream together until light and fluffy. Add the confectioner''s sugar. Mix in enough cream to make the frosting of a spreading consistency. Apply to cool cake.**';7495
Peanut Butter Frosting Recipe ;441;https://images.media-allrecipes.com/userphotos/560x315/627735.jpg;Suzanne Stull;15 m;X;15 m;butter,peanut butter,sugar,cream;'In a large bowl, beat butter and peanut butter until light and fluffy. Slowly beat in 1/2 of  the confectioner''s sugar. Mix in 1/4 cup of the cream. Beat in the remaining confectioners'' sugar. If necessary, add a little more cream or milk until the frosting reaches a good spreading consistency. Makes enough to frost one 2 layer 9 inch cake or one 9x13 inch cake.**';7496
Caramel Frosting I Recipe ;218;https://images.media-allrecipes.com/userphotos/250x250/452276.jpg;MaryKaye;10 m;5 m;15 m;butter,milk,brown sugar,sugar,vanilla;'In a saucepan over medium heat, melt  the butter, and mix in 3 tablespoons milk and brown sugar. Boil vigorously for 1 minute.**Remove from heat, and beat in 1/2 cup confectioners'' sugar. Cool slightly, and beat in the vanilla and remaining 1/2 cup confectioners'' sugar. Add more milk if the mixture is too thick.**';7506
Seven;245;https://images.media-allrecipes.com/userphotos/560x315/15517.jpg;JJOHN32;X;X;X;butter,white sugar,egg,flour,lemon,lemon;Cream together the butter and sugar for 20 minutes.  Add eggs, one at a time.  Add flour, lemon extract and fold in the 7UP (TM)  soft drink.**Pour into a well-greased 12 cup Bundt pan.  Bake at 325 degrees F (165 degrees C) for 60 to 75 minutes.**;7524
Easy Dump Cake Recipe ;213;https://images.media-allrecipes.com/userphotos/560x315/2131630.jpg;Meredith;25 m;55 m;1 h 20 m;cake,chocolate,egg,vegetable oil,white sugar,water,sour cream,chocolate;Preheat oven to 350 degrees F (175 degrees C). Grease and flour a Bundt pan.**In a bowl, mix the yellow cake mix, pudding mix, eggs, vegetable oil, sugar, and water. Gently fold in the sour cream and chocolate chips. Pour batter into the prepared Bundt pan.**Bake in the preheated oven for 55 minutes. Cool in pan for 10 minutes before transferring to cooling racks.**;7527
Blueberry Dump Cake Recipe ;303;https://images.media-allrecipes.com/userphotos/560x315/97043.jpg;Debbie;X;X;X;cake,blueberry,white sugar,butter,cinnamon;Preheat oven to 350 degrees F (175 degrees C).**Mix berries, sugar, and cinnamon in the bottom of a 9 x 13 inch pan. Cover berries with dry cake mix.  Pour butter over cake mix, do not stir.**Bake for 30 minutes, or until light brown.  Serve warm or cold. top with ice cream.**;7528
Special Buttercream Frosting Recipe ;1k;https://images.media-allrecipes.com/userphotos/560x315/5015159.jpg;Rick Mazzuca;30 m;X;30 m;shortening,sugar,salt,vanilla,cream;'Cream shortening until fluffy. Add confectioner''s sugar and continue creaming until well blended.**Add salt, vanilla, and whipping cream blend on low speed until moistened.  Add additional whipping cream if necessary (up to 2 ounces). Beat at high speed until frosting is fluffy.**';7542
